,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.05,502,2,500000.0,1.17662360156545,,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.05,504,2,500000.0,1.17747901516844,,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.05,506,2,500000.0,1.17837189466193,,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.05,508,2,500000.0,1.1791362468331,,0.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.05,510,2,500000.0,1.18000708146274,,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.05,512,2,500000.0,1.18089388467086,,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.05,514,2,500000.0,1.18169303123046,,0.0,0.0,0.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.05,516,2,500000.0,1.18256256858225,,0.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.05,518,2,500000.0,1.18333929872482,,0.0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.05,520,2,500000.0,1.18413280440169,,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.05,522,2,500000.0,1.184814908884,,0.0,0.0,0.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.05,524,2,500000.0,1.18564428721044,,0.0,0.0,0.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.05,526,2,500000.0,1.18623535979449,,0.0,0.0,0.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.05,528,2,500000.0,1.18691311580508,,0.0,0.0,0.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.05,530,2,500000.0,1.18740617352132,,0.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.05,532,2,500000.0,1.18810554884438,,0.0,0.0,0.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.05,534,2,500000.0,1.18943277689967,,0.0,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.05,536,2,500000.0,1.19165789569026,,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.05,538,2,500000.0,1.1933953170949,,0.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0.05,540,2,500000.0,1.19462031821519,,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0.05,542,2,500000.0,1.19557065892945,,0.0,0.0,0.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.05,544,2,500000.0,1.19668353378915,,0.0,0.0,0.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.05,546,2,500000.0,1.19757869607337,,0.0,0.0,0.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.05,548,2,500000.0,1.19860065465315,,,,,548.0,,,,,,
24,24,0.05,550,2,500000.0,1.19963845879841,,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,0.05,552,2,500000.0,1.20065872263705,,,,,552.0,,,,,,
26,26,0.05,554,2,500000.0,1.20181115118366,,,,,554.0,,,,,,
27,27,0.05,556,2,500000.0,1.20295231364558,,,,,556.0,,,,,,
28,28,0.05,558,2,500000.0,1.20410472404016,,0.0,0.0,0.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,0.05,560,2,500000.0,1.20514112000624,,3.0,0.0006000000000000001,,560.0,0.06471248765387472,0.00846186576477959,0.011866133362626189,8.653662072075662,0.005192197243245397,
30,30,0.05,562,2,500000.0,1.20653239223348,,10.0,0.002,,562.0,0.06971333639402241,0.00573509799602224,0.010663527314242223,8.061585186850833,0.016123170373701663,
31,31,0.05,564,2,500000.0,1.20811897847302,,13.0,0.0026,,564.0,0.08730545791739942,0.011102878758635156,0.012085459055022781,6.460077221444806,0.016796200775756494,
